"","Sample","Accession","Treatment","Phenotype","Treatment1"
"C24mock1_000000000-BLVD4","C24mock1","C24","Mock_exp1",NA,"Mock_C24_exp1"
"C24mock2_000000000-BLVD4","C24mock2","C24","Mock_exp1",NA,"Mock_C24_exp1"
"C24mock3_000000000-BLVD4","C24mock3","C24","Mock_exp1",NA,"Mock_C24_exp1"
"C24mock4_000000000-BLVD4","C24mock4","C24","Mock_exp1",NA,"Mock_C24_exp1"
"Colmix1_000000000-BLVD4","Colmix1","Col-0","Mix_exp1","Both","Mix_Col-0_exp1"
"Colmix2_000000000-BLVD4","Colmix2","Col-0","Mix_exp1","Both","Mix_Col-0_exp1"
"Colmix3_000000000-BLVD4","Colmix3","Col-0","Mix_exp1","Both","Mix_Col-0_exp1"
"Colmix4_000000000-BLVD4","Colmix4","Col-0","Mix_exp1","Both","Mix_Col-0_exp1"
"Colmock1_000000000-BLVD4","Colmock1","Col-0","Mock_exp1",NA,"Mock_Col-0_exp1"
"Colmock2_000000000-BLVD4","Colmock2","Col-0","Mock_exp1",NA,"Mock_Col-0_exp1"
"Colmock3_000000000-BLVD4","Colmock3","Col-0","Mock_exp1",NA,"Mock_Col-0_exp1"
"Colmock4_000000000-BLVD4","Colmock4","Col-0","Mock_exp1",NA,"Mock_Col-0_exp1"
"ColNoco1_000000000-BLVD4","ColNoco1","Col-0","Noco2_exp1","Susceptible","Noco2_Col-0_exp1"
"ColNoco2_000000000-BLVD4","ColNoco2","Col-0","Noco2_exp1","Susceptible","Noco2_Col-0_exp1"
"ColNoco3_000000000-BLVD4","ColNoco3","Col-0","Noco2_exp1","Susceptible","Noco2_Col-0_exp1"
"ColNoco4_000000000-BLVD4","ColNoco4","Col-0","Noco2_exp1","Susceptible","Noco2_Col-0_exp1"
"LerCala1_000000000-BLVD4","LerCala1","Ler","Cala2_exp1","Susceptible","Cala2_Ler_exp1"
"LerCala2_000000000-BLVD4","LerCala2","Ler","Cala2_exp1","Susceptible","Cala2_Ler_exp1"
"LerCala3_000000000-BLVD4","LerCala3","Ler","Cala2_exp1","Susceptible","Cala2_Ler_exp1"
"LerCala4_000000000-BLVD4","LerCala4","Ler","Cala2_exp1","Susceptible","Cala2_Ler_exp1"
"Lermix1_000000000-BLVD4","Lermix1","Ler","Mix_exp1","Both","Mix_Ler_exp1"
"Lermix2_000000000-BLVD4","Lermix2","Ler","Mix_exp1","Both","Mix_Ler_exp1"
"Lermix3_000000000-BLVD4","Lermix3","Ler","Mix_exp1","Both","Mix_Ler_exp1"
"Lermix4_000000000-BLVD4","Lermix4","Ler","Mix_exp1","Both","Mix_Ler_exp1"
"lermock1_000000000-BLVD4","lermock1","Ler","Mock_exp1",NA,"Mock_Ler_exp1"
"lermock2_000000000-BLVD4","lermock2","Ler","Mock_exp1",NA,"Mock_Ler_exp1"
"lermock3_000000000-BLVD4","lermock3","Ler","Mock_exp1",NA,"Mock_Ler_exp1"
"lermock4_000000000-BLVD4","lermock4","Ler","Mock_exp1",NA,"Mock_Ler_exp1"
"ProCala1_000000000-BLVD4","ProCala1","Pro-0","Cala2_exp1","Susceptible","Cala2_Pro-0_exp1"
"ProCala2_000000000-BLVD4","ProCala2","Pro-0","Cala2_exp1","Susceptible","Cala2_Pro-0_exp1"
"ProCala3_000000000-BLVD4","ProCala3","Pro-0","Cala2_exp1","Susceptible","Cala2_Pro-0_exp1"
"ProCala4_000000000-BLVD4","ProCala4","Pro-0","Cala2_exp1","Susceptible","Cala2_Pro-0_exp1"
"Promix1_000000000-BLVD4","Promix1","Pro-0","Mix_exp1","Susceptible","Mix_Pro-0_exp1"
"Promix2_000000000-BLVD4","Promix2","Pro-0","Mix_exp1","Susceptible","Mix_Pro-0_exp1"
"Promix3_000000000-BLVD4","Promix3","Pro-0","Mix_exp1","Susceptible","Mix_Pro-0_exp1"
"Promix4_000000000-BLVD4","Promix4","Pro-0","Mix_exp1","Susceptible","Mix_Pro-0_exp1"
"Promock1_000000000-BLVD4","Promock1","Pro-0","Mock_exp1",NA,"Mock_Pro-0_exp1"
"Promock2_000000000-BLVD4","Promock2","Pro-0","Mock_exp1",NA,"Mock_Pro-0_exp1"
"Promock3_000000000-BLVD4","Promock3","Pro-0","Mock_exp1",NA,"Mock_Pro-0_exp1"
"Promock4_000000000-BLVD4","Promock4","Pro-0","Mock_exp1",NA,"Mock_Pro-0_exp1"
"ProNoco1_000000000-BLVD4","ProNoco1","Pro-0","Noco2_exp1","Susceptible","Noco2_Pro-0_exp1"
"ProNoco2_000000000-BLVD4","ProNoco2","Pro-0","Noco2_exp1","Susceptible","Noco2_Pro-0_exp1"
