SampleID	Line	Treatment	Timepoint	Timepoint_con	Timetreat	Sample_weight	Disease_score	Disease_quantification	Succes_rate	Plate	Row	Column	DNA_conc
Blank_1	Blank	Blank	week_0	0	Blank_w0	NA	NA	0	NA	Plate_1	C	5	9.8
Blank_2	Blank	Blank	week_0	0	Blank_w0	NA	NA	0	NA	Plate_2	D	7	8.9
Blank_3	Blank	Blank	week_0	0	Blank_w0	NA	NA	0.084202099	NA	Plate_3	D	2	10.5
Filter_G1	Filter_G	Filter_gnoHpa	week_0	0	Filter_w0	NA	NA	18.89588258	NA	Plate_1	G	3	10.2
Filter_G2	Filter_G	Filter_gnoHpa	week_0	0	Filter_w0	NA	NA	6.36429187	NA	Plate_2	H	5	9.9
Filter_G3	Filter_G	Filter_gnoHpa	week_0	0	Filter_w0	NA	NA	34.53530357	NA	Plate_3	E	3	14.4
Filter_H1	Filter_H	Filter_Hpa	week_0	0	Filter_w0	NA	NA	176.0693527	NA	Plate_1	H	4	17
Filter_H2	Filter_H	Filter_Hpa	week_0	0	Filter_w0	NA	NA	32.2225776	NA	Plate_2	C	9	20
Filter_H3	Filter_H	Filter_Hpa	week_0	0	Filter_w0	NA	NA	141.5335236	NA	Plate_2	G	7	10.5
Filter_M1	Filter_M	Filter_Mock	week_0	0	Filter_w0	NA	NA	8.845845227	NA	Plate_1	F	2	14.9
Filter_M2	Filter_M	Filter_Mock	week_0	0	Filter_w0	NA	NA	0.081616237	NA	Plate_2	D	1	13.2
Filter_M3	Filter_M	Filter_Mock	week_0	0	Filter_w0	NA	NA	0	NA	Plate_3	A	9	18.5
G10w1	G10	gnoHpa	week_1	1	gnoHpa_w1	0.0747	3	0.129408115	1	Plate_1	E	10	17.1
G10w2	G10	gnoHpa	week_2	2	gnoHpa_w2	0.0815	4	0.306721244	2.370185542	Plate_3	F	3	17.8
G10w3	G10	gnoHpa	week_3	3	gnoHpa_w3	0.0642	5	0.598739352	1.952063522	Plate_2	F	5	21.4
G10w4	G10	gnoHpa	week_4	4	gnoHpa_w4	0.0697	5	0.418993567	0.699792933	Plate_1	F	11	19.3
G10w5	G10	gnoHpa	week_5	5	gnoHpa_w5	0.0945	5	1.489677463	3.555370725	Plate_3	D	6	24.1
G11w1	G11	gnoHpa	week_1	1	gnoHpa_w1	0.0744	4	0.268873598	1	Plate_2	E	9	23.9
G11w2	G11	gnoHpa	week_2	2	gnoHpa_w2	0.072	5	0.321970407	1.197478705	Plate_1	F	3	17.7
G11w3	G11	gnoHpa	week_3	3	gnoHpa_w3	0.0436	5	0.562529242	1.747145792	Plate_3	E	7	20.1
G11w4	G11	gnoHpa	week_4	4	gnoHpa_w4	0.0805	5	0.510506063	0.907519155	Plate_2	F	9	22.8
G11w5	G11	gnoHpa	week_5	5	gnoHpa_w5	0.0491	5	1.2397077	2.428389769	Plate_1	G	4	15.2
G12w1	G12	gnoHpa	week_1	1	gnoHpa_w1	0.0513	5	0.051296351	1	Plate_1	A	4	16.6
G12w2	G12	gnoHpa	week_2	2	gnoHpa_w2	0.0422	3	0.439824538	8.5741877	Plate_2	E	12	24.2
G12w3	G12	gnoHpa	week_3	3	gnoHpa_w3	0.0571	5	0.319746395	0.726986259	Plate_1	E	7	17.8
G12w4	G12	gnoHpa	week_4	4	gnoHpa_w4	0.0642	5	0.942784536	2.948538435	Plate_3	E	9	20
G12w5	G12	gnoHpa	week_5	5	gnoHpa_w5	0.0857	5	1.090507733	1.156688184	Plate_2	H	11	18.5
G13w1	G13	gnoHpa	week_1	1	gnoHpa_w1	0.0537	4	0.139177702	1	Plate_1	F	8	17.3
G13w2	G13	gnoHpa	week_2	2	gnoHpa_w2	0.0483	2	0.316439148	2.273633946	Plate_3	F	10	22.5
G13w3	G13	gnoHpa	week_3	3	gnoHpa_w3	0.1028	2	0.364755086	1.152686347	Plate_2	H	2	24.8
G13w4	G13	gnoHpa	week_4	4	gnoHpa_w4	0.0704	3	0.14014576	0.384218795	Plate_1	H	7	19.1
G13w5	G13	gnoHpa	week_5	5	gnoHpa_w5	0.066	4	0.643940815	4.59479342	Plate_3	E	11	17.2
G14w1	G14	gnoHpa	week_1	1	gnoHpa_w1	0.0321	2	0.213158723	1	Plate_2	G	6	18.9
G14w2	G14	gnoHpa	week_2	2	gnoHpa_w2	0.0711	2	0.360982299	1.693490625	Plate_1	G	12	15.3
G14w3	G14	gnoHpa	week_3	3	gnoHpa_w3	0.0752	3	0.127184962	0.352330189	Plate_3	G	11	37.9
G14w4	G14	gnoHpa	week_4	4	gnoHpa_w4	0.0797	5	0.312082637	2.453769955	Plate_2	H	7	30.3
G14w5	G14	gnoHpa	week_5	5	gnoHpa_w5	0.0492	4	0.803850991	2.575763259	Plate_1	H	11	19.3
G15w1	G15	gnoHpa	week_1	1	gnoHpa_w1	0.0423	2	0.384218795	1	Plate_3	G	6	24.4
G15w2	G15	gnoHpa	week_2	2	gnoHpa_w2	0.0656	3	0.319746395	0.832198735	Plate_2	G	10	23.6
G15w3	G15	gnoHpa	week_3	3	gnoHpa_w3	0.0789	5	0.550952558	1.723092319	Plate_1	H	5	14.3
G15w4	G15	gnoHpa	week_4	4	gnoHpa_w4	0.0515	5	0.664342907	1.205807828	Plate_3	H	3	20.9
G15w5	G15	gnoHpa	week_5	5	gnoHpa_w5	0.0701	5	0.792784137	1.193335743	Plate_3	G	9	19.4
G3w1	G3	gnoHpa	week_1	1	gnoHpa_w1	0.0853	5	0.378929142	1	Plate_1	A	3	19.3
G3w2	G3	gnoHpa	week_2	2	gnoHpa_w2	0.0664	4	0.498270131	1.31494276	Plate_3	A	7	15.6
G3w3	G3	gnoHpa	week_3	3	gnoHpa_w3	0.0965	5	0.38958229	0.781869643	Plate_2	B	9	22.9
G3w4	G3	gnoHpa	week_4	4	gnoHpa_w4	0.0631	3	0.186209683	0.477972659	Plate_1	B	4	17.3
G3w5	G3	gnoHpa	week_5	5	gnoHpa_w5	0.1741	2	0.120742041	0.648419777	Plate_2	B	6	23.6
G4w1	G4	gnoHpa	week_1	1	gnoHpa_w1	0.0987	1	0.12200397	1	Plate_2	B	1	19.4
G4w2	G4	gnoHpa	week_2	2	gnoHpa_w2	0.0687	1	0.06515411	0.534032704	Plate_1	A	7	14.9
G4w3	G4	gnoHpa	week_3	3	gnoHpa_w3	0.0827	1	0.131670129	2.020902893	Plate_3	A	12	17.9
G4w4	G4	gnoHpa	week_4	4	gnoHpa_w4	0.0664	1	0.076415017	0.580351957	Plate_2	C	2	22.2
G4w5	G4	gnoHpa	week_5	5	gnoHpa_w5	0.0714	1	0.094404537	1.235418637	Plate_1	B	8	27.5
G5w1	G5	gnoHpa	week_1	1	gnoHpa_w1	0.0438	5	0.385552706	1	Plate_3	A	3	16.8
