# Constructed from biom file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#OTU ID,Blank_1,Blank_2,Blank_3,Filter_G1,Filter_G2,Filter_G3,Filter_H1,Filter_H2,Filter_H3,Filter_M1,Filter_M2,Filter_M3,G10w1,G10w2,G10w3,G10w4,G10w5,G11w1,G11w2,G11w3,G11w4,G11w5,G12w1,G12w2,G12w3,G12w4,G12w5,G13w1,G13w2,G13w3,G13w4,G13w5,G14w1,G14w2,G14w3,G14w4,G14w5,G15w1,G15w2,G15w3,G15w4,G15w5,G3w1,G3w2,G3w3,G3w4,G3w5,G4w1,G4w2,G4w3,G4w4,G4w5,G5w1,G5w2,G5w3,G5w4,G5w5,G7w1,G7w2,G7w3,G7w4,G7w5,G8w1,G8w2,G8w3,G8w4,G8w5,G9w1,G9w2,G9w3,G9w4,G9w5,H10w1,H10w2,H10w3,H10w4,H10w5,H12w1,H12w2,H12w3,H12w4,H12w5,H14w1,H14w2,H14w3,H14w4,H14w5,H15w1,H15w2,H15w3,H15w4,H15w5,H1w1,H1w2,H1w3,H1w4,H1w5,H2w1,H2w2,H2w3,H2w4,H2w5,H3w1,H3w2,H3w3,H3w4,H3w5,H5w1,H5w2,H5w3,H5w4,H5w5,H6w1,H6w2,H6w3,H6w4,H6w5,H7w1,H7w2,H7w3,H7w4,H7w5,H8w1,H8w2,H8w3,H8w4,H8w5,H9w1,H9w2,H9w3,H9w4,H9w5,M10w1,M10w2,M10w3,M10w4,M10w5,M11w1,M11w2,M11w3,M11w4,M11w5,M12w1,M12w2,M12w3,M12w4,M12w5,M13w1,M13w2,M13w3,M13w4,M13w5,M14w1,M14w2,M14w3,M14w4,M14w5,M2w1,M2w2,M2w3,M2w4,M2w5,M3w1,M3w2,M3w3,M3w4,M3w5,M4w1,M4w2,M4w3,M4w4,M4w5,M5w1,M5w2,M5w3,M5w4,M5w5,M6w1,M6w2,M6w3,M6w4,M6w5,M7w1,M7w2,U11w3,M7w4,M7w5,M9w1,M9w2,M9w3,M9w4,M9w5,Salini_1,Salini_2,Salini_3,U10w1,U10w2,U10w5,U11w1,U11w2,M7w3,U11w5,U12w1,U12w2,U13w1,U13w2,U13w3,U13w5,U14w1,U14w2,U14w3,U14w5,U15w1,U15w2,U15w3,U15w5,U1w1,U1w2,U1w3,U1w4,U1w5,U2w1,U2w2,U2w3,U2w4,U2w5,U3w1,U3w2,U3w3,U3w4,U4w3,U4w4,U4w5,U5w2,U5w3,U5w4,U5w5,U6w3,U6w4,U6w5,U7w1,U7w4,U8w1,U8w2,U8w3,U8w5,U9w1,U9w2,U9w3,U9w5
2345c975ae95fddd8aa7816acb912ffc,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11,0,46,0,0,0,0,0,27,0,0,0,0,0,0,12,0,10,0,0,0,9,17,0,0,21,24,0,54,83,0,233,0,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,25,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,18,9,0,0,0,4,0,0,0,0,0,0,0,0,0,25,11,0,9,0,0,0,0,0,0,10,10,0,0,0,0,22,0,0,0,0,0,10,0,42,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,30,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,22,10,0,0,0,30,0,0,44,13,0,0,0,0,0,0
d7ebd84085140f3ab8f91054d74a564a,0,0,5,0,0,0,0,0,0,0,0,0,14,56,0,0,57,0,0,0,947,1614,0,0,0,29,0,0,0,0,293,15,0,0,0,257,0,541,0,8,77,383,0,0,0,529,24,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,65,3,0,0,96,480,0,0,0,0,0,0,0,3,24,3,0,0,50,0,94,34,0,0,398,0,79,31,66,0,0,0,0,0,0,0,18,0,0,0,26,9,0,0,0,79,0,0,0,0,71,44,1584,0,0,56,785,0,0,0,0,51,0,0,0,0,39,0,0,0,2,0,0,198,0,230,0,0,0,0,0,0,0,0,0,0,79,0,0,368,0,0,0,0,0,0,244,0,0,3,0,23,0,605,0,239,28,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,250,100,0,0,0,0,107,15,0,0,0,677,0,175,0,0,0,127,0,0,293,0,0,0,0,0,482,0,0,0,0,0
2237abdbcfa464a02814cf6cb3793b4d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,149,0,0,0,0,0,0,6,0,3,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,52,0,0,0,0,0,55,0,0,0,0,0,0,0,0,38,76,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
df84fc8bb4693ad5e425dd42a2e8ee08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,19,0,17,0,0,0,0,0,22,0,23,0,15,0,0,0,0,0,0,0,0,0,0,12,10,20,28,23,25,0,0,0,11,26,0,30,0,129,25,15,0,0,0,14,0,58,0,30,59,17,0,16,0,0,0,19,27,0,0,0,0,0,0,0,0,0,0,25,0,0,0,60,0,20,0,12,0,0,0,0,22,11,16,0,29,30,0,0,0,33,32,0,9,1,19,28,0,18,21,0,19,51,0,0,8,0,0,0,0,0,0,0,0,0,0,24,10,8,0,0,13,0,0,0,0,0,32,0,20,15,16,0,7,0,0,0,50,69,0,105,0,14,32,0,34,0,19,42,0,67,23,0,0,25,25,0,0,29,0,0,35,21,18,0,0,0,0,0,89,0,9,0,0,0,42,0,0,0,0,0,0,7,0,20,13,0,10,20,0,0,0,0,0,0,0,0,0,35,50,0,0,21,0,17,29,22,30,124,71,0,66,0,131,8,0,21,15,28,0,21,6,0,23,0,0,0,30,0,0
589cb61e83f84a67e78ed5f29f9f7876,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,36,67,0,7,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,10,0,0,0,0,0,0,0,0,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
8745d6ac6f512a59d9cf2b866e0c5981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,41,0,0,0,0,0,0,0,0,0,28,19,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,44,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,32,0,0,0,0,0,0,0,16,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
0795a7c45ca4e69d27bc8e7c9b024ff4,0,0,0,0,0,0,139,230,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,39,0,0,74,0,0,0,0,0,0,0,0,0,0,0,70,7,0,0,0,15,0,19,42,0,82,7,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ad2281ce47473ddbb0457df697779754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,417,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0
258888d59976d9f8e12b0e5bb78be7ee,0,0,0,0,0,0,71,102,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2462,667,15,120,21,0,413,43,60,0,54,55,0,17,669,39,107,8,0,29,22,220,83,0,0,10,45,229,0,79,271,233,112,0,0,167,27,0,0,0,0,0,0,0,119,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316e38b8d28970c15cd099175a58dd75,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,14,0,91,0,157,0,0,0,0,0,17,96,0,0,13,0,0,0,0,0,0,17,0,0,49,0,0,0,9,0,136,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,34,0,27,0,0,19,0,0,0,0,10,20,0,69,0,0,0,0,7,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,15,0,0,0,0,13,0,0,0,0,31,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,29,0,5,0,76,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,20,0,0,0,0,0,0,0,70,0,0,5,0,31,12,0,19,0,0,19,0,11,14,0,0,0,0,54,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,18,50,0,0,0,74,0,18,0,0,0,23,0,8,0,0,0,0,0,21,0,0,0,14,42,0,7,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
