ASV,taxonomy
4a7f867d55034fd3b2b4b28e0b1dda36,Bacteria; Actinomycetota; Actinobacteria; Mycobacteriales; Nocardiaceae; Rhodococcus
cc7d89dd6e92976234083313b57c05dc,Bacteria; Rhodothermota; Rhodothermia; Rhodothermales; Rhodothermaceae; Salinibacter; Salinibacter_ruber
42fbddad8a098579cf2412325c7aaaa9,Bacteria; Actinomycetota; Actinobacteria; Micrococcales; Micrococcaceae
844b818a278a5edf276ec179451c96f4,Bacteria; Actinomycetota; Actinobacteria; Micrococcales; Micrococcaceae; Paenarthrobacter
ed6be6f35c692c6166ff8442f30ba282,Bacteria; Pseudomonadota; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingobium
3a0c1321ebad1dfbd01b70a09aa6e30b,Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Weeksellaceae; Chryseobacterium
d486760d6f805ff543544452ff88b539,Bacteria; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae; Stenotrophomonas; Stenotrophomonas_rhizophila
96e6af561023b22b571640737cb6afd7,Bacteria; Pseudomonadota; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; Paraburkholderia_caledonica
e50dba98d4ebddb99dbb214b18862ea3,Bacteria; Pseudomonadota; Gammaproteobacteria; Burkholderiales; Methylophilaceae; Methylophilus
d1316b26e5350da36e6456499ecdfe18,Bacteria; Actinomycetota; Actinobacteria; Micrococcales; Micrococcaceae
15da8b3417459a1a66342300e6968701,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Beijerinckiaceae; Methylobacterium
2569b4c4cad75aecc852532bc6bd3c10,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae
75fa685326a035527533f685a54bb1be,Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Weeksellaceae; Chryseobacterium
b03b0b6f9fbea9da74b4312924440778,Bacteria; Actinomycetota; Actinobacteria; Mycobacteriales; Nocardiaceae; Rhodococcus
caee7a95cc97de2b414c54354b4efc2a,Bacteria; Pseudomonadota; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia
eda25e05d93f10bb528c112ddcf9da13,Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas_viridiflava
31c5d6d689fe24ec7157fa1c0783fbd4,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Beijerinckiaceae; Methylorubrum
8be20602f06f40de1569fb2a903381d8,Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
c7ba2aae94cbe0284443a7c62f35dad0,Bacteria; Actinomycetota; Actinobacteria; Micrococcales; Micrococcaceae; Paenarthrobacter
cb322ce2bdac95dbe7d037ce041d9105,Bacteria; Actinomycetota; Actinobacteria; Micrococcales; Micrococcaceae; Paenarthrobacter
6ce35ed9c44a62a27bdcdd6f9debd13a,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium
eb22905b6f4f9e46d68e84d518d6dc05,Bacteria; Pseudomonadota; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Brevundimonas
99afea602eb398fa3c9a3f2476472a42,Bacteria; Actinomycetota; Actinobacteria; Mycobacteriales; Nocardiaceae; Rhodococcus; Rhodococcus_globerulus
c64d0b194420756c348758b5e64f855e,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Agrobacterium
5a1e308fbdab067f362d9adc74eebc12,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium
b3d3cf6172f12d94c721e3ab3984ec0e,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium
ef66dad7b163c5f07b4db66e1720b455,Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Flavobacterium_johnsoniae
4715d00a2315b24a3fcc1b66ae839a94,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Beijerinckiaceae; Methylobacterium
6c8e8f15c8b62edfc17dd5fc30ecd8cd,Bacteria; Actinomycetota; Actinobacteria; Kitasatosporales; Streptomycetaceae; Streptomyces
804ba5fcfb31b203c29e316d2afd49e5,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Beijerinckiaceae; Methylobacterium; Methylobacterium_soli
00de25d904b6880dd324da7dca071078,Bacteria; Pseudomonadota; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; Paraburkholderia_graminis
d24ed2699c38d9336b710a2e643a773b,Bacteria; Actinomycetota; Actinobacteria; Micrococcales; Micrococcaceae; Pseudarthrobacter
4c048e382b1002cc40b63e3c80709461,Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Sphingobacterium
84cfb99ca8d2e841b7fdd082092d4c5e,Bacteria; Pseudomonadota; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae; Massilia
93120265f9c84ff7e35370a1f4336272,Bacteria; Actinomycetota; Actinobacteria; Kitasatosporales; Streptomycetaceae; Streptomyces
1b54d6d07e1019ae66872c0f5843eedf,Bacteria; Actinomycetota; Actinobacteria; Mycobacteriales; Nocardiaceae; Rhodococcus; Rhodococcus_jostii
a5ea4724933efc67e9233f266324cc32,Bacteria; Pseudomonadota; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae; Massilia
d4d0fc8a769eeee5e46d52caadcc5d9c,Bacteria; Actinomycetota; Actinobacteria; Micrococcales; Intrasporangiaceae; Terrabacter; Terrabacter_sp.
a0e1a3759ad3462a28017d94b4432ee1,Bacteria; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae; Xanthomonas
2cd30e9eda91687ba73dcae76f4f1880,Bacteria; Pseudomonadota; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Brevundimonas
842071da3530e744a5b5ef0ac41bdea5,Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Weeksellaceae; Chryseobacterium; Chryseobacterium_shandongense
ce6ca56f80d5857e1c95e72b64d4086c,Bacteria; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae; Stenotrophomonas; Stenotrophomonas_rhizophila
a0ba45fb226c1878a9296be26c16a88e,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Beijerinckiaceae; Methylobacterium
74299ce746cace16b4c2c28bc51f009f,Bacteria; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae; Stenotrophomonas
a29aac7d2f8744c38e2487e5deab00e0,Bacteria; Pseudomonadota; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae; Massilia
287724862e9c79428f81438435edb914,Bacteria; Actinomycetota; Actinobacteria; Micrococcales; Beutenbergiaceae; Salana; uncultured_bacterium
32ab1812bd3770f4b7f6aad7273783da,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter
ad98b412c91a75f13adf6d9ff578284b,Bacteria; Actinomycetota; Actinobacteria; Micrococcales; Micrococcaceae; Pseudarthrobacter
f359d6b12d6df77fce3684238719e6c2,Bacteria; Pseudomonadota; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas
6772fd435036ea6d95510eed7afc515e,Bacteria; Actinomycetota; Actinobacteria; Micrococcales; Microbacteriaceae; Leifsonia
2b45521fb7effd0b1237d33ecc85dc42,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Beijerinckiaceae; Methylobacterium
768802daecc011d20968d915356fa212,Bacteria; Pseudomonadota; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae
29b65658a6bdb840ec8d056be8953f61,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Devosiaceae; Devosia
2b364af4f3acffb23bf138229399c60a,Bacteria; Pseudomonadota; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingobium
b679fddec3506821595dd2c915b07db1,Bacteria; Pseudomonadota; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Brevundimonas
e405a6746c773112d9e57378cc4ca60a,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium
eababa30ab4bf85e4636a00f79e08e07,Bacteria; Bacteroidota; Bacteroidia; Cytophagales; Spirosomataceae; Dyadobacter
f5d2ade95ab8b3cd2b94132ec6c2461d,Bacteria; Bacillota; Bacilli; Paenibacillales; Paenibacillaceae; Paenibacillus
dbef6d2d861ec3c17b7d9f3ddd671919,Bacteria; Actinomycetota; Actinobacteria; Propionibacteriales; Nocardioidaceae; Nocardioides; Nocardioides_ultimimeridianus
3e6cc38c7d9907b46caaa36f0148c565,Bacteria; Pseudomonadota; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae; Massilia
c82094e7c42eeacfb555c070e82586bd,Bacteria; Actinomycetota; Actinobacteria; Kitasatosporales; Streptomycetaceae; Kitasatospora
e01ccd749960b04699eef783119e25ae,Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
1eab2ca5628f180a6d2e0a5cc007bf8c,Bacteria; Pseudomonadota; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Cupriavidus
