OTU	Status4	Status5
77c40fb99e0eb33c1b2b4e0cc51baf3d	Rhizosphere	No
c112790db6c471234d9e9e11a5655d82	Rhizosphere	No
f4d1dd916073bfcece8687deeacac85c	Rhizosphere	No
5c88e8cf1a3dc09a8a7cffd837b75332	Root_endosphere	No
5195e825cf6ee6767d4a5dbba95b44cb	Root_endosphere	No
d0291e09963cc8090081b3af577261ba	Bulk	No
fb6738e6f7f7356af2e38a0a1cf14235	Rhizosphere	No
f0257effaf7a40a6da85858533d1e2d9	Bulk	No
dcec3354d4e06247699546fc70f3adb7	Rhizosphere	No
45277c77d99ac1810b947cbe05b9496c	Bulk	No
1a74b5bacee1d622d113af1425a70325	Rhizosphere	No
7ee07a805dd06f7a044586150e70b643	Root_endosphere	No
28dae968ac1fbba4ca70848868021a76	Rhizosphere	No
c41e670d84acca37875b53f4bbb7ad51	Root_endosphere	No
0a68f0fc4c8574fd52102d7c8728fe02	Rhizosphere	No
cec4d61233fa1d415d15fea06ef1e4e6	Bulk	No
8fc0fabfdf5e0826776c43e192eaeaf5	Rhizosphere	No
4f314535df0bc63365051e89917777be	Bulk	No
f8400b13352b54c3231ea5b47354bc40	Rhizosphere	No
88386585d0db76209a15a24bd3f7b20a	Rhizosphere	No
9566d59f65a3978ac7541c7baca1b9d5	Rhizosphere	No
c3d05f91a12f086d6c2065c83064781d	Bulk	No
7d2d918e2c6f8fd1de63f63d748aa5b4	Rhizosphere	No
a0648b79820af1525f55a0f450f33e72	Bulk	No
d1316b26e5350da36e6456499ecdfe18	Root_endosphere	No
b963db7ae6c6dc2df925798100657eec	Rhizosphere	No
427f6f6dd67a6f8ee2d11b01dfbcfdb5	Bulk	No
1e18b6948235bab5f241b8e816f1bb79	Bulk	No
b039f3801bd3d50c224ece00bf14538f	Bulk	No
74f0775afdf0c5c911a65b2d1e8dcee9	Phyllosphere	Also_bulk
0854c3cfdc8b827ff07cd6cc62667613	Rhizosphere	No
4cb135c50a6e33a338e4a3b73f5c19ff	Bulk	No
faee9012e5905ae5a783d47b8fa5455f	Rhizosphere	No
655a80b213fa21b91a3235da103708d7	Rhizosphere	No
61a4015fe0fa3de1c1f11b13591dcd67	Bulk	No
53a19d45ba4bc72fdebb1f9b5fe44a47	Root_endosphere	No
153cbb1a6c05453a938a7770ffc4f4d7	Bulk	No
8823f2157021e63a83170f7b041e4e2c	Bulk	No
29906782f137a45c40d027becbde8c35	Root_endosphere	No
9f13fa6b298cb1ad5b57c0b80a366fa4	Bulk	No
00a40731f8b4466310c9de3ced72b51c	Rhizosphere	No
ba1efb1eebbc98cec26bca2381d0c6ac	Rhizosphere	No
3ad773a5372f32ac666e62def52a8ebb	Rhizosphere	No
e9ea823f7366ca184c51c55dc3c479ce	Rhizosphere	No
67295416d78867124d916aa17f394238	Rhizosphere	No
88ef2d49699b0c3f834a0dc8e3ce8bcb	Rhizosphere	No
2bc896553478e8f482a6f2c6732bea75	Bulk	No
