OTU	Number_cultures	Status	ASV_tag
18a9493174a87b8ddfa73655faa37a88	10_cultures	Enriched	Comamonas_18a94
2569b4c4cad75aecc852532bc6bd3c10	9_cultures	Enriched	Rhizobium_2569b
3a0c1321ebad1dfbd01b70a09aa6e30b	13_cultures	Enriched	Chryseobacterium_3a0c1
42fbddad8a098579cf2412325c7aaaa9	10_cultures	Enriched	Arthrobacter_42fbd
57b1624fb8fa7f753961385792b49ba1	9_cultures	Enriched	Stenotrophomonas_57b16
5d7e3773d4933948bf126934d1c41efa	10_cultures	Enriched	Sphingobacterium_5d7e3
5d899896a54dd0d0747cf6260509bf39	9_cultures	Enriched	Sphingomonas_5d899
7ef342d97a469edd5979b788b95a44e6	9_cultures	Enriched	Brevundimonas_7ef34
819286959c7d21780818a60b9f3e3481	9_cultures	Enriched	Methylophilus_81928
95a529b86d88a6107aee969a0900df7e	10_cultures	Enriched	Nocardioides_95a52
a0e1a3759ad3462a28017d94b4432ee1	14_cultures	Enriched	Xanthomonas_a0e1a
a40651859fbc083e4c97aaf60b733a63	14_cultures	Enriched	Acidovorax_a4065
aec8d6df5e39dbae9750799f1e2678f1	10_cultures	Enriched	Sphingobacterium_aec8d
b1acdb8ebd62583ddbf1f8bb0398687d	10_cultures	Enriched	Microbacterium_b1acd
c64d0b194420756c348758b5e64f855e	10_cultures	Enriched	Rhizobium_c64d0
cf25d4a90f748550689c08313753196f	9_cultures	Enriched	Pseudomonas_cf25d
d0c4a44b8ca7ef41148be9cc781a097f	10_cultures	Enriched	Sphingobacterium_d0c4a
d541697fde83d4d4dd314b6b5596f0b1	10_cultures	Enriched	Sphingobacterium_d5416
d93fb404358cbc6c5fb5c2c26f76bed6	10_cultures	Enriched	Aeromicrobium_d93fb
db05cb9805e7078efe4ed46d1ab9e8af	10_cultures	Enriched	Sphingobacterium_db05c
e50dba98d4ebddb99dbb214b18862ea3	13_cultures	Enriched	Methylophilus_e50db
ed6be6f35c692c6166ff8442f30ba282	12_cultures	Enriched	Sphingobium_ed6be
ef66dad7b163c5f07b4db66e1720b455	13_cultures	Enriched	Flavobacterium_ef66d
efbd034a138d9831af387259f9904dcf	12_cultures	Enriched	Agromyces_efbd0
f2a1b43875772d62233c6d85a595d843	12_cultures	Enriched	Pedobacter_f2a1b
