SampleID	Sample_Name	Compartment	Treatment	Generation
B1	NA	Blank	Blank	Blank
B2	NA	Blank	Blank	Blank
B3	NA	Blank	Blank	Blank
B-H-G1-1	H1 H B R1	Bulk	Hpa	Generation_1
B-H-G1-10	H1 H B R10	Bulk	Hpa	Generation_1
B-H-G1-2	H1 H B R2	Bulk	Hpa	Generation_1
B-H-G1-3	H1 H B R3	Bulk	Hpa	Generation_1
B-H-G1-4	H1 H B R4	Bulk	Hpa	Generation_1
B-H-G1-5	H1 H B R5	Bulk	Hpa	Generation_1
B-H-G1-6	H1 H B R6	Bulk	Hpa	Generation_1
B-H-G1-7	H1 H B R7	Bulk	Hpa	Generation_1
B-H-G1-8	H1 H B R8	Bulk	Hpa	Generation_1
B-H-G1-9	H1 H B R9	Bulk	Hpa	Generation_1
B-H-G2-10	H2 H B R10	Bulk	Hpa	Generation_2
B-H-G2-3	H2 H B R3	Bulk	Hpa	Generation_2
B-H-G2-4	H2 H B R4	Bulk	Hpa	Generation_2
B-H-G2-5	H2 H B R5	Bulk	Hpa	Generation_2
B-H-G2-6	H2 H B R6	Bulk	Hpa	Generation_2
B-H-G2-7	H2 H B R7	Bulk	Hpa	Generation_2
B-H-G2-8	H2 H B R8	Bulk	Hpa	Generation_2
B-H-G2-9	H2 H B R9	Bulk	Hpa	Generation_2
B-M-G1-1	H1 M B R1	Bulk	Mock	Generation_1
B-M-G1-10	H1 M B R10	Bulk	Mock	Generation_1
B-M-G1-2	H1 M B R2	Bulk	Mock	Generation_1
B-M-G1-3	H1 M B R3	Bulk	Mock	Generation_1
B-M-G1-4	H1 M B R4	Bulk	Mock	Generation_1
B-M-G1-5	H1 M B R5	Bulk	Mock	Generation_1
B-M-G1-6	H1 M B R6	Bulk	Mock	Generation_1
B-M-G1-7	H1 M B R7	Bulk	Mock	Generation_1
B-M-G1-8	H1 M B R8	Bulk	Mock	Generation_1
B-M-G1-9	H1 M B R9	Bulk	Mock	Generation_1
B-M-G2-1	H2 M B R1	Bulk	Mock	Generation_2
B-M-G2-2	H2 M B R2	Bulk	Mock	Generation_2
B-M-G2-3	H2 M B R3	Bulk	Mock	Generation_2
