,Kingdom,Phylum,Class,Order,Family,Genus,Species
3a0c1321ebad1dfbd01b70a09aa6e30b,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,NA
a0e1a3759ad3462a28017d94b4432ee1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,NA
6fab97b1d8947b93180a83dff724938f,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
224c3c6cf14783ec1e5a0b2b6cb7eca5,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,NA
2569b4c4cad75aecc852532bc6bd3c10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,NA
ef66dad7b163c5f07b4db66e1720b455,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
a40651859fbc083e4c97aaf60b733a63,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,NA
f96ada7c4859c6238d0429cecde2f0be,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,NA
c64d0b194420756c348758b5e64f855e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,NA
77da9058bac1ba7013dea202bed3a325,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA
819286959c7d21780818a60b9f3e3481,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylophilus,uncultured_bacterium
42fbddad8a098579cf2412325c7aaaa9,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Ambiguous_taxa
efbd034a138d9831af387259f9904dcf,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,NA
15da8b3417459a1a66342300e6968701,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,NA
f2a1b43875772d62233c6d85a595d843,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA
e50dba98d4ebddb99dbb214b18862ea3,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylophilus,NA
cac801a418d7fec65331b374a8a1f73b,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,NA
9d99593bbc3c55f09c442b04aeda8ef8,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
d93fb404358cbc6c5fb5c2c26f76bed6,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,NA
e9b0959ee561652137c358df14c0e763,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA
